FrameSync,DateTime (UTC+00:00),Temperature (Celsius),Oxygen (mg/L),pH (pH),Chlorophyll (ug/l),Turbidity (NTU),Chlorophyll StdDev (ug/l),Turbidity StdDev (NTU),Salinity (psu),Spec Conductivity (uS/cm),Oxygen Sat (%),Date,Time (UTC+00:00),Event Flags
HCEP03730292,10/28/2020 19:00,15.3302,8.169,8.09,5.557,0.815,0.39,0.03,30.8331,47854.1,98.52, 28 Oct 2020, 19:00:00,0
HCEP03730292,10/28/2020 19:15,15.3514,8.111,8.09,4.575,0.748,0.24,0.03,30.8522,47878.8,97.88, 28 Oct 2020, 19:15:00,0
HCEP03730292,10/28/2020 19:30,15.3559,8.094,8.08,4.596,0.774,0.1,0.05,30.8631,47893.7,97.68, 28 Oct 2020, 19:30:00,0
HCEP03730292,10/28/2020 19:45,15.3526,8.123,8.09,5.082,0.746,0.12,0.03,30.8776,47914.1,98.03, 28 Oct 2020, 19:45:00,0
HCEP03730292,10/28/2020 20:00,15.3669,8.118,8.08,4.558,0.796,0.13,0.02,30.8914,47932,98.01, 28 Oct 2020, 20:00:00,0
HCEP03730292,10/28/2020 20:15,15.3786,8.078,8.08,4.345,0.761,0.14,0.04,30.8918,47931.6,97.56, 28 Oct 2020, 20:15:00,0
HCEP03730292,10/28/2020 20:30,15.3742,8.055,8.08,4.183,0.776,0.12,0.02,30.8837,47920.6,97.26, 28 Oct 2020, 20:30:00,0
HCEP03730292,10/28/2020 20:45,15.3781,8.055,8.07,3.795,0.742,0.11,0.06,30.8774,47911.6,97.27, 28 Oct 2020, 20:45:00,0
HCEP03730292,10/28/2020 21:00,15.3811,8.023,8.07,3.733,0.782,0.11,0.03,30.8761,47909.5,96.88, 28 Oct 2020, 21:00:00,0
HCEP03730292,10/28/2020 21:15,15.3729,8.018,8.07,3.688,0.721,0.16,0.02,30.8801,47915.8,96.82, 28 Oct 2020, 21:15:00,0
HCEP03730292,10/28/2020 21:30,15.3629,8.005,8.07,3.194,0.772,0.14,0.03,30.8868,47926.1,96.63, 28 Oct 2020, 21:30:00,0
HCEP03730292,10/28/2020 21:45,15.3733,7.994,8.06,3.186,0.733,0.12,0.02,30.8954,47937.1,96.53, 28 Oct 2020, 21:45:00,0
HCEP03730292,10/28/2020 22:00,15.362,7.982,8.06,3.177,0.788,0.16,0.03,30.8992,47943.3,96.37, 28 Oct 2020, 22:00:00,0
HCEP03730292,10/28/2020 22:15,15.3564,7.97,8.06,3.129,0.732,0.15,0.03,30.902,47947.8,96.21, 28 Oct 2020, 22:15:00,0
HCEP03730292,10/28/2020 22:30,15.3569,7.96,8.06,2.861,0.781,0.11,0.03,30.9097,47958.5,96.1, 28 Oct 2020, 22:30:00,0
HCEP03730292,10/28/2020 22:45,15.3393,7.937,8.06,2.845,0.727,0.12,0.04,30.9053,47954,95.79, 28 Oct 2020, 22:45:00,0
HCEP03730292,10/28/2020 23:00,15.3415,7.935,8.05,2.758,0.785,0.16,0.04,30.9018,47949,95.76, 28 Oct 2020, 23:00:00,0
HCEP03730292,10/28/2020 23:15,15.3346,7.939,8.05,2.769,0.727,0.13,0.02,30.9,47947.1,95.79, 28 Oct 2020, 23:15:00,0
HCEP03730292,10/28/2020 23:30,15.3246,7.948,8.05,2.646,0.773,0.1,0.02,30.89,47934,95.88, 28 Oct 2020, 23:30:00,0
HCEP03730292,10/28/2020 23:45,15.2993,7.961,8.05,2.923,0.726,0.1,0.02,30.8736,47913.5,95.98, 28 Oct 2020, 23:45:00,0
HCEP03730292,10/29/2020 0:00,15.295,7.964,8.05,2.941,0.78,0.1,0.04,30.8492,47879.9,95.99, 29 Oct 2020, 00:00:00,0
HCEP03730292,10/29/2020 0:15,15.252,7.965,8.05,2.783,0.736,0.1,0.02,30.8067,47824.5,95.89, 29 Oct 2020, 00:15:00,0
HCEP03730292,10/29/2020 0:30,15.2701,7.924,8.04,2.588,0.786,0.08,0.02,30.8031,47817.9,95.43, 29 Oct 2020, 00:30:00,0
HCEP03730292,10/29/2020 0:45,15.2728,7.902,8.04,2.507,0.746,0.07,0.02,30.8109,47828.5,95.18, 29 Oct 2020, 00:45:00,0
HCEP03730292,10/29/2020 1:00,15.242,7.892,8.04,2.433,0.798,0.12,0.02,30.791,47803.7,94.98, 29 Oct 2020, 01:00:00,0
HCEP03730292,10/29/2020 1:15,15.2468,7.906,8.04,2.767,0.744,0.08,0.03,30.8171,47839.5,95.19, 29 Oct 2020, 01:15:00,0
HCEP03730292,10/29/2020 1:30,15.2635,7.905,8.04,2.53,0.762,0.1,0.03,30.8242,47847.9,95.2, 29 Oct 2020, 01:30:00,0
HCEP03730292,10/29/2020 1:45,15.2755,7.886,8.04,2.576,0.682,0.09,0.01,30.82,47840.9,95, 29 Oct 2020, 01:45:00,0
HCEP03730292,10/29/2020 2:00,15.2655,7.898,8.04,2.681,0.718,0.07,0.01,30.8418,47872.2,95.14, 29 Oct 2020, 02:00:00,0
HCEP03730292,10/29/2020 2:15,15.2824,7.851,8.04,2.312,0.653,0.07,0.02,30.8586,47894.2,94.61, 29 Oct 2020, 02:15:00,0
HCEP03730292,10/29/2020 2:30,15.3013,7.799,8.03,2.238,0.685,0.07,0.02,30.8489,47878.9,94.01, 29 Oct 2020, 02:30:00,0
HCEP03730292,10/29/2020 2:45,15.2572,7.784,8.03,2.219,0.624,0.07,0.01,30.8057,47822.8,93.73, 29 Oct 2020, 02:45:00,0
HCEP03730292,10/29/2020 3:00,15.0569,7.813,8.02,2.01,0.635,0.08,0.01,30.6665,47647.2,93.65, 29 Oct 2020, 03:00:00,0
HCEP03730292,10/29/2020 3:15,15.0362,7.806,8.02,2,0.584,0.06,0.01,30.6041,47562,93.46, 29 Oct 2020, 03:15:00,0
HCEP03730292,10/29/2020 3:30,15.0883,7.789,8.02,1.983,0.64,0.07,0.01,30.6613,47637,93.38, 29 Oct 2020, 03:30:00,0
HCEP03730292,10/29/2020 3:45,15.1131,7.779,8.02,1.997,0.609,0.08,0.01,30.6763,47655.6,93.32, 29 Oct 2020, 03:45:00,0
HCEP03730292,10/29/2020 4:00,15.1265,7.777,8.02,2.144,0.669,0.09,0.02,30.6819,47662.2,93.32, 29 Oct 2020, 04:00:00,0
HCEP03730292,10/29/2020 4:15,15.1494,7.766,8.02,2.348,0.643,0.13,0.02,30.6956,47679.1,93.24, 29 Oct 2020, 04:15:00,0
HCEP03730292,10/29/2020 4:30,15.1592,7.753,8.01,2.297,0.693,0.11,0.03,30.6988,47682.7,93.12, 29 Oct 2020, 04:30:00,0
HCEP03730292,10/29/2020 4:45,15.1227,7.747,8.01,2.201,0.64,0.12,0.01,30.6989,47686.2,92.97, 29 Oct 2020, 04:45:00,0
HCEP03730292,10/29/2020 5:00,15.1267,7.746,8.01,2.258,0.681,0.12,0.03,30.7029,47691.4,92.97, 29 Oct 2020, 05:00:00,0
HCEP03730292,10/29/2020 5:15,15.0442,7.756,8.01,2.285,0.646,0.12,0.03,30.6811,47668.9,92.93, 29 Oct 2020, 05:15:00,0
HCEP03730292,10/29/2020 5:30,15.0926,7.76,8.01,2.195,0.675,0.11,0.01,30.7107,47705.6,93.07, 29 Oct 2020, 05:30:00,0
HCEP03730292,10/29/2020 5:45,15.0914,7.757,8.01,2.25,0.642,0.08,0.02,30.7236,47723.7,93.05, 29 Oct 2020, 05:45:00,0
HCEP03730292,10/29/2020 6:00,15.0908,7.753,8.01,2.108,0.685,0.09,0.03,30.7298,47732.4,93, 29 Oct 2020, 06:00:00,0
HCEP03730292,10/29/2020 6:15,15.0988,7.753,8.01,2.107,0.628,0.11,0.02,30.7353,47739.4,93.01, 29 Oct 2020, 06:15:00,0
HCEP03730292,10/29/2020 6:30,15.0653,7.756,8.01,2.073,0.668,0.1,0.02,30.7358,47743.2,92.99, 29 Oct 2020, 06:30:00,0
HCEP03730292,10/29/2020 6:45,15.0646,7.757,8.01,2.029,0.625,0.1,0.02,30.7461,47757.6,93.01, 29 Oct 2020, 06:45:00,0
HCEP03730292,10/29/2020 7:00,15.0632,7.765,8.01,1.936,0.661,0.07,0.01,30.7563,47772,93.1, 29 Oct 2020, 07:00:00,0
HCEP03730292,10/29/2020 7:15,15.0564,7.762,8.01,2.087,0.628,0.12,0.02,30.763,47782,93.06, 29 Oct 2020, 07:15:00,0
HCEP03730292,10/29/2020 7:30,15.0539,7.762,8.01,2.149,0.666,0.18,0.03,30.7648,47784.8,93.06, 29 Oct 2020, 07:30:00,0
