ReferenceDesignator,ParameterID_R,GlobalRangeMin,GlobalRangeMax,_DataLevel,_Units,_Array ID,_Platform ID,_Instrument
CE01ISSM-MFD35-01-VEL3DD000,vel3d_c_eastward_turbulent_velocity,-3,3,L1,m s-1,CE01ISSM,MFD35,VEL3DD000
CE01ISSM-MFD35-01-VEL3DD000,vel3d_c_northward_turbulent_velocity,-3,3,L1,m s-1,CE01ISSM,MFD35,VEL3DD000
CE01ISSM-MFD35-01-VEL3DD000,vel3d_c_upward_turbulent_velocity,-1,1,L1,m s-1,CE01ISSM,MFD35,VEL3DD000
CE01ISSM-MFD35-01-VEL3DD000,seawater_pressure_mbar,0,1100000,,0.001 dbar,CE01ISSM,MFD35,VEL3DD000
CE01ISSM-MFD35-01-VEL3DD000,turbulent_velocity_east,-3000,3000,L0,mm s-1,CE01ISSM,MFD35,VEL3DD000
CE01ISSM-MFD35-01-VEL3DD000,turbulent_velocity_north,-3000,3000,L0,mm s-1,CE01ISSM,MFD35,VEL3DD000
CE01ISSM-MFD35-01-VEL3DD000,turbulent_velocity_vertical,-1000,1000,L0,mm s-1,CE01ISSM,MFD35,VEL3DD000
CE01ISSM-MFD35-01-VEL3DD000,speed_of_sound,1380,1580,,m s-1,CE01ISSM,MFD35,VEL3DD000
CE01ISSM-MFD35-02-PRESFA000,abs_seafloor_pressure,0,6000,L1,dbar,CE01ISSM,MFD35,PRESFA000
CE01ISSM-MFD35-02-PRESFA000,seawater_temperature,-2,40,,ºC,CE01ISSM,MFD35,PRESFA000
CE01ISSM-MFD35-02-PRESFA000,presf_tide_pressure,0,6000,L1,dbar,CE01ISSM,MFD35,PRESFA000
CE01ISSM-MFD35-02-PRESFA000,presf_tide_temperature,-2,40,L1,ºC,CE01ISSM,MFD35,PRESFA000
CE01ISSM-MFD35-02-PRESFA000,presf_wave_burst_pressure,0,6000,L1,dbar,CE01ISSM,MFD35,PRESFA000
CE01ISSM-MFD35-02-PRESFA000,absolute_pressure_burst,0,8800,L0,psi,CE01ISSM,MFD35,PRESFA000
CE01ISSM-MFD35-02-PRESFA000,absolute_pressure,0,8800,L0,psi,CE01ISSM,MFD35,PRESFA000
CE01ISSM-MFD35-02-PRESFA000,ptemp_frequency,,,,Hz,CE01ISSM,MFD35,PRESFA000
CE01ISSM-MFD35-04-ADCPTM000,corrected_echo_intensity_beam1,0,255,L1,dB,CE01ISSM,MFD35,ADCPTM000
CE01ISSM-MFD35-04-ADCPTM000,corrected_echo_intensity_beam2,0,255,L1,dB,CE01ISSM,MFD35,ADCPTM000
CE01ISSM-MFD35-04-ADCPTM000,corrected_echo_intensity_beam3,0,255,L1,dB,CE01ISSM,MFD35,ADCPTM000
CE01ISSM-MFD35-04-ADCPTM000,corrected_echo_intensity_beam4,0,255,L1,dB,CE01ISSM,MFD35,ADCPTM000
